variable,label,definition,source_field,transformation,analytical_role,reference
RIC,Refinitiv Instrument Code,Instrument code on which the static and panel extracts are merged.,RIC,none,key,
year,Fiscal year,"Fiscal year of the observation. Where the extract supplies a reporting date that date is authoritative; where it does not, the year follows from the row's position within the firm's block, which arrives newest first.",Date,"calendar year of the reporting date, or position-assigned",panel index; year fixed effects in the pooled specification,
year_imputed,Fiscal year assigned by position,Indicator equal to one where the firm-year carried no reporting date and its year was assigned by position.,Date,indicator on a missing date,robustness: dated observations only,
rating,EMI score,"Environmental management and innovation score: the equal-weight mean of the resource-use and environmental-innovation theme scores, defined only where both themes are present.",Resource Use Score; Environmental Innovation Score,"mean of the two themes, 0-100 scale",focal predictor,London Stock Exchange Group (2024)
rating_resource_use,Resource-use theme score,"Provider theme score for resource use, entered on its own as one component of the composite.",Resource Use Score,none,alternative predictor; component,London Stock Exchange Group (2024)
rating_innovation,Environmental-innovation theme score,"Provider theme score for environmental innovation, entered on its own as the second component of the composite.",Environmental Innovation Score,none,alternative predictor; component,London Stock Exchange Group (2024)
rating_emissions_theme,Emissions theme score,"Provider emissions theme score, excluded from the composite because it scores the outcome the analysis treats as the dependent variable.",Emissions Score,none,alternative predictor,London Stock Exchange Group (2024)
rating_three_theme,Three-theme mean,"Equal-weight mean of the resource-use, environmental-innovation and emissions theme scores, defined only where all three are present.",Resource Use Score; Environmental Innovation Score; Emissions Score,mean of the three themes,alternative predictor: weighting sensitivity,London Stock Exchange Group (2024)
rating_pca,First principal component of the two themes,"First principal component of the two standardised theme scores, oriented so that a higher value means a higher score. An outcome-blind data-driven weighting, reported alongside the equal-weight default.",Resource Use Score; Environmental Innovation Score,"standardised, then first eigenvector of the covariance matrix",alternative predictor: weighting sensitivity,"Berg, Kolbel & Rigobon (2022)"
rating_pillar,Environmental pillar score,"Provider environmental pillar score. Excluded from the composite because the provider builds it from the resource-use, emissions and innovation categories, so it would double count two of its own inputs.",Environmental Pillar Score,none,alternative predictor,London Stock Exchange Group (2024)
rating_esg,ESG score,Provider overall ESG score across all three pillars.,ESG Score,none,alternative predictor,London Stock Exchange Group (2024)
rating_esgc,ESG combined score,Provider ESG score adjusted for controversies.,ESG Combined Score,none,alternative predictor,London Stock Exchange Group (2024)
scored,Carries both theme scores,Indicator equal to one where both the resource-use and the environmental-innovation theme scores are present. Defines the rated cross-section and is the outcome of the first selection gate.,Resource Use Score; Environmental Innovation Score,indicator on both themes present,selection outcome: rating gate,"Berg, Kolbel & Rigobon (2022)"
scope12,Scope 1+2 emissions,"Operational emissions: the sum of the direct Scope 1 and indirect Scope 2 CO2-equivalent fields, defined only where both are present, so that the boundary is explicit rather than taken from the provider's aggregate.","CO2 Equivalent Emissions Direct, Scope 1; CO2 Equivalent Emissions Indirect, Scope 2","sum of the two components, tonnes CO2e",primary outcome (level),WRI & WBCSD (2004)
scope3,Scope 3 emissions,"Value-chain emissions as reported by the provider, analysed separately from operational emissions and never added to them, the two boundaries answering different questions.","CO2 Equivalent Emissions Indirect, Scope 3","none, tonnes CO2e",value-chain outcome (level),WRI & WBCSD (2004)
ln_scope12,Log Scope 1+2,"Natural logarithm of operational emissions, defined only on strictly positive values; firms reporting exactly zero are counted and excluded rather than coerced.",derived,natural log on strictly positive values,primary outcome,WRI & WBCSD (2004)
ln_scope3,Log Scope 3,"Natural logarithm of value-chain emissions, defined only on strictly positive values.",derived,natural log on strictly positive values,value-chain outcome,WRI & WBCSD (2004)
emissions_reported,Emissions figure is firm-reported,"Indicator equal to one where the provider records the emissions figure as reported by the firm rather than estimated, and missing where no method flag is carried.",CO2 Estimation Method,indicator on the method flag equalling Reported,robustness: firm-reported emissions only,"Busch, Johnson & Pioch (2022)"
ln_scope12_per_revenue,Log Scope 1+2 per unit of revenue,"Natural logarithm of operational emissions divided by revenue. The headline intensity measure, revenue being the most widely used and the most comparable denominator across studies.",derived; Revenue,"ratio on strictly positive revenue, then natural log",primary intensity outcome,Hoffmann & Busch (2008)
ln_scope12_per_assets,Log Scope 1+2 per unit of total assets,Natural logarithm of operational emissions divided by total assets.,derived; Total Assets,"ratio on strictly positive assets, then natural log",intensity outcome: denominator battery,Hoffmann & Busch (2008)
ln_scope12_per_employees,Log Scope 1+2 per employee,"Natural logarithm of operational emissions divided by full-time employees. A physical rather than a financial denominator, so it does not move with valuation or accounting choices.",derived; Full-Time Employees,"ratio on strictly positive employees, then natural log",intensity outcome: denominator battery,Hoffmann & Busch (2008)
ln_scope12_per_ev,Log Scope 1+2 per unit of enterprise value,Natural logarithm of operational emissions divided by enterprise value.,derived; Enterprise Value (Daily Time Series),"ratio on strictly positive enterprise value, then natural log",intensity outcome: denominator battery,Hoffmann & Busch (2008)
ln_scope12_per_energy,Log Scope 1+2 per unit of energy use,Natural logarithm of operational emissions divided by total energy use. The second physical denominator.,derived; Energy Use Total,"ratio on strictly positive energy use, then natural log",intensity outcome: denominator battery,Hoffmann & Busch (2008)
ln_scope3_per_revenue,Log Scope 3 per unit of revenue,Natural logarithm of value-chain emissions divided by revenue. Scope 3 is scaled by the same five denominators as Scope 1+2; revenue and total assets are the two reported.,derived; Revenue,"ratio on strictly positive revenue, then natural log",value-chain intensity outcome,Hoffmann & Busch (2008)
ln_scope3_per_assets,Log Scope 3 per unit of total assets,Natural logarithm of value-chain emissions divided by total assets.,derived; Total Assets,"ratio on strictly positive assets, then natural log",value-chain intensity outcome,Hoffmann & Busch (2008)
ln_scope12_per_revenue_sector_demeaned,"Log Scope 1+2 per unit of revenue, sector-demeaned","Log revenue intensity less the median of the same intensity within the firm's TRBC economic sector and fiscal year, so that a firm's position within its sector is separated from the level of the sector itself.",derived,subtract the sector-year median,intensity outcome: denominator battery,Hoffmann & Busch (2008)
ln_scope12_per_assets_sector_demeaned,"Log Scope 1+2 per unit of assets, sector-demeaned",Log asset intensity less its sector-year median.,derived,subtract the sector-year median,intensity outcome: denominator battery,Hoffmann & Busch (2008)
ln_scope12_per_employees_sector_demeaned,"Log Scope 1+2 per employee, sector-demeaned",Log employee intensity less its sector-year median.,derived,subtract the sector-year median,intensity outcome: denominator battery,Hoffmann & Busch (2008)
ln_scope12_per_ev_sector_demeaned,"Log Scope 1+2 per unit of enterprise value, sector-demeaned",Log enterprise-value intensity less its sector-year median.,derived,subtract the sector-year median,intensity outcome: denominator battery,Hoffmann & Busch (2008)
ln_scope12_per_energy_sector_demeaned,"Log Scope 1+2 per unit of energy use, sector-demeaned",Log energy intensity less its sector-year median.,derived,subtract the sector-year median,intensity outcome: denominator battery,Hoffmann & Busch (2008)
waste_recycled_rate,Waste recycling rate,"Recycled waste over total waste, on strictly positive total waste, set missing where the ratio exceeds one. A rate rather than a tonnage, since recycled tonnage is not a recycling rate.",Waste Recycled Total; Waste Total,"ratio, bounded above at one",secondary outcome: waste,
hazardous_share,Hazardous share of waste,"Hazardous waste over total waste, on strictly positive total waste.",Hazardous Waste; Waste Total,ratio,secondary outcome: waste,
ln_waste_recycled,Log recycled waste,"Natural logarithm of recycled waste tonnage, defined only on strictly positive values.",Waste Recycled Total,natural log on strictly positive values,secondary outcome: waste,
ln_waste_total,Log total waste,"Natural logarithm of total waste tonnage, defined only on strictly positive values.",Waste Total,natural log on strictly positive values,secondary outcome: waste,
ln_mcap,Log market capitalisation,Natural logarithm of company market capitalisation in US dollars. The control carried in every outcome model.,Company Market Cap,natural log on strictly positive values,control: scale and visibility,
ln_assets,Log total assets,Natural logarithm of total assets in US dollars.,Total Assets,natural log on strictly positive values,selection covariate; descriptive,
ln_revenue,Log revenue,Natural logarithm of revenue in US dollars.,Revenue,natural log on strictly positive values,selection covariate; descriptive,
ln_employees,Log employees,Natural logarithm of full-time employees.,Full-Time Employees,natural log on strictly positive values,descriptive; intensity denominator,
ln_ev,Log enterprise value,Natural logarithm of enterprise value in US dollars.,Enterprise Value (Daily Time Series),natural log on strictly positive values,descriptive; intensity denominator,
ln_energy,Log energy use,Natural logarithm of total energy use.,Energy Use Total,natural log on strictly positive values,descriptive; intensity denominator,
roa,Return on assets,"Net income before extraordinary items over total assets, on strictly positive assets.",Net Income Incl Extra Before Distributions; Total Assets,ratio,selection covariate; balancing covariate,
leverage,Leverage,"Total debt over total assets, on strictly positive assets.",Total Debt; Total Assets,ratio,selection covariate; balancing covariate,
free_float,Free float,"Percentage of shares in free float, used as the available proxy for institutional ownership, which the provider does not supply under its own name.",Free Float (Percent),"none, per cent",selection covariate,
firm_age,Firm age,"Observation year less founding year. A founding year outside 1500 to the observation year is treated as missing, since a missing value arrives as zero.",Organization Founded Year,"difference in years, implausible values set missing",selection covariate; balancing covariate,
reporting_scope,ESG reporting scope,"Provider measure of the share of the group covered by the firm's sustainability reporting, used as one indicator of reporting maturity.",ESG Reporting Scope,"none, per cent",descriptive: reporting maturity,London Stock Exchange Group (2024)
gri_reporting,Reports under GRI guidelines,"Indicator for reporting under the Global Reporting Initiative guidelines. Populated for a minority of firms and nearly constant among them, so it is used descriptively rather than as a covariate.",GRI Report Guidelines,true/false mapped to one/zero,descriptive: reporting maturity,
scope12_available,Scope 1+2 available,"Indicator equal to one where an operational emissions figure exists for the firm-year, whether the firm reported it or the provider estimated it. The outcome of the availability gate.",derived,indicator on a non-missing value,selection outcome: availability gate,
scope3_available,Scope 3 available,Indicator equal to one where a value-chain emissions figure exists for the firm-year.,derived,indicator on a non-missing value,selection outcome: availability gate,
scope12_firm_reported,Firm-reported Scope 1+2 available,"Indicator equal to one where an operational emissions figure exists and the estimation-method flag records it as reported by the firm. The strict reading of disclosure, used as a sensitivity on the availability gate.",derived,indicator on a non-missing value and a flag value,selection outcome: availability gate,
reported_given_available,Figure is the firm's own,"Among firm-years carrying both an emissions figure and an estimation-method flag, equal to one where the figure is firm-reported and zero where the provider estimated it; missing elsewhere.",CO2 Estimation Method,indicator conditional on availability,selection outcome: availability gate,
waste_available,Total waste available,Indicator equal to one where a total waste figure exists for the firm-year.,Waste Total,indicator on a non-missing value,selection outcome: availability gate,
sector,TRBC economic sector,"Provider economic sector, the coarsest of the five classification levels and the industry control in the main models. Complete for every rated firm.",TRBC Economic Sector Name,none,fixed effect: industry,
business_sector,TRBC business sector,"Provider business sector, the next level down, used to test whether a finer industry classification changes the estimates.",TRBC Business Sector Name,none,fixed effect: finer industry,
industry_group,TRBC industry group,"Provider industry group, the third classification level, retained for description.",TRBC Industry Group Name,none,classification,
carbon_intensive,Carbon-intensive sector,"Indicator equal to one for firms in Energy, Utilities or Basic Materials, the sectors conventionally treated as carbon intensive.",TRBC Economic Sector Name,indicator on sector membership,moderator: sample split and interaction,
sector_carbon_intensity,Sector carbon intensity,Median log Scope 1+2 per unit of revenue within the firm's sector and fiscal year: a continuous alternative to the carbon-intensive indicator.,derived,sector-year median of the log revenue intensity,moderator: continuous interaction,Hoffmann & Busch (2008)
country,Country,"Country of headquarters, falling back to country of exchange where the headquarters field is absent.",Country of Headquarters; Country of Exchange,coalesce the two fields,source for the country grouping,
country_group,Country group,"Country of the firm, with any country holding fewer than 25 firms pooled into a residual group. Absorbs national differences in regulation, energy systems and disclosure institutions, and is also the clustering variable.",derived,pool countries below the 25-firm cutoff,fixed effect: country; clustering unit,
country_group_10,"Country group, 10-firm cutoff","The same grouping at a 10-firm cutoff, estimated with clustering on the corresponding grouping so that the choice of cutoff is shown to be immaterial.",derived,pool countries below the 10-firm cutoff,robustness: alternative country grouping,
country_group_50,"Country group, 50-firm cutoff",The same grouping at a 50-firm cutoff.,derived,pool countries below the 50-firm cutoff,robustness: alternative country grouping,
roa_w,"Return on assets, winsorised","Return on assets clipped at its 1st and 99th percentiles. Winsorisation enters as a robustness check rather than the default, so the main estimates are not conditioned on a trimming rule.",derived,winsorised at the 1st and 99th percentiles,robustness: tails in the accounting ratios,
leverage_w,"Leverage, winsorised",Leverage clipped at its 1st and 99th percentiles.,derived,winsorised at the 1st and 99th percentiles,robustness: tails in the accounting ratios,
waste_recycled_rate_w,"Waste recycling rate, winsorised",Recycling rate clipped at its 1st and 99th percentiles.,derived,winsorised at the 1st and 99th percentiles,robustness: tails in the waste ratios,
hazardous_share_w,"Hazardous share, winsorised",Hazardous share clipped at its 1st and 99th percentiles.,derived,winsorised at the 1st and 99th percentiles,robustness: tails in the waste ratios,
ipw,Inverse-probability weight,"Weight formed from the fitted propensity of the availability gate, truncated at 0.02 and 0.98 and normalised to a mean of one. Overlap and the effective sample size are reported alongside the weighted estimates rather than assumed adequate.",derived,"one over the fitted propensity, truncated and normalised",weight: availability reweighting,Austin & Stuart (2015)
eb,Entropy-balancing weight,"Weight that makes the observed firms' means on log market capitalisation, log total assets, return on assets, leverage and firm age match those of the whole rated population, so balance on those moments holds by construction.",derived,exponential tilt solving the moment conditions,weight: availability reweighting,Hainmueller (2012)
